holdroom_detention_facility_code,office_id
ANCHOLD,20c92a6b-0776-5915-a50c-421c9116bc2d
BHMHOLD,ccfafab6-037b-519a-aa51-90310f90956b
ETWHOLD,408ada57-7358-5379-b997-4ed123ac4f9d
FAYHOLD,5130fc3c-27d8-5499-9239-f35588352e4d
FSAHOLD,7cbf52f5-7c09-5e69-a683-734ef0c74e7b
LRAHOLD,8b87f656-2ac3-519b-86ae-3f732f3e47e4
TXAHOLD,693e7191-b795-5ca5-96ba-f8fa5f1697d3
PHOHOLD,0c46b4e4-3310-5b25-936a-72af294958d9
TUCHOLD,684d40a6-1105-53f4-a47d-f1cfe0b3393c
BKLHOLD,fe5ac6ac-2db1-5217-a668-6170d5cc8018
FREHOLD,f2b05fae-db60-515b-af82-d28414415c53
IMPHOLD,fda415d9-e157-5628-ac60-14c54588c0c4
LOSHOLD,c8b41fe3-e418-5523-96a7-8626cf922721
SAAHOLD,1d47531e-e5f1-5fd6-938a-d130c7868ca2
SACHOLD,69e3d6a6-0fe8-5359-b598-d99866a0374c
SBDHOLD,344b8ba9-5ca9-5881-8ac5-d6f8c1f8afeb
SFRHOLD,d635ac97-e2a2-59a8-b19f-3528f8738647
SMAHOLD,2bb79847-3ade-58b6-ac00-64f1035e16f6
SNDHOLD,dfd7129e-13ea-537b-b624-9fd433cc3a3a
SNJHOLD,1d43400f-7798-59b6-9058-a74b6782eee9
VENHOLD,14dca4ea-01ac-5b5f-a513-c1aa3de30c2a
HARHOLD,5271eaec-9edf-5408-a4be-fee786f6882b
DVDHOLD,b647ca04-7ff7-5f58-a368-292e35cfb238
JAXHOLD,ea7b77fc-e82f-559d-bdf8-5e6ee622ecc5
KROHOLD,523e20ab-949b-53df-92ec-db2f783b53aa
MIAHOLD,345db4b4-4b8c-5fa5-b3cb-1f8e91c39300
ORLHOLD,cc5a100d-bbbf-505d-b62b-3e82d47c9bef
TALHOLD,ce655de0-fc0c-514f-b0b0-e4330363b2a1
TAMHOLD,95b13697-a76a-5aa0-8fe9-386928997495
ATLHOLD,fa28e784-fcbf-5d3f-83d6-6e93fd1504be
AGAHOLD,620cbf4b-3197-524a-9283-c18960167d8a
HHWHOLD,dc715bdf-7597-5792-b771-cf5f94d6e15a
CRIHOLD,dd0665bc-0582-5d1a-ad9d-7ec6d3936462
DSMHOLD,db8594b3-428b-5a22-9e90-b3c92c8a92a6
SXCHOLD,ef7f080d-b6a9-5f48-84e1-cae8c0981d8e
BOIHOLD,5486c9e8-fbbc-5bfb-827e-71e3a2c4d6fc
IFIHOLD,6d3f62b6-aa1b-58da-bb82-607c4a4c772f
TFIHOLD,e4907fdb-8578-579d-bbcc-1f2e15e8a150
CHIHOLD,82930961-680c-5fe8-a785-9f81b9d1afd6
WICHOLD,6622ca38-01be-5181-b857-c6dbf0ecb727
LOUHOLD,c527d947-09c9-5658-9a45-3796962bb1c1
NOLHOLD,8a3a180e-692b-5e19-b137-0ac05ff2dd90
BOSHOLD,4d008c86-36f1-513b-9fc2-70d8b724e24f
BALHOLD,15a9c9e9-d879-59e4-ad63-43ebe374e339
SALHOLD,14c51580-ae09-56ce-a1de-d0cc39a841d1
POMHOLD,dcea9ebc-7b67-55a9-827e-fea877ab1d1b
DETHOLD,c9a4d4e1-3d13-5b24-87c9-98afdccfb7de
SPMHOLD,0971b9cb-5d68-536d-8a1c-8480b264f234
KANHOLD,729fdd64-f3ed-577c-bc15-fdef1ae34834
SPGHOLD,92aaa8a7-e024-513f-9d85-dc9cd7857c70
STLHOLD,f4616ab9-b0a2-5ce7-abb1-b3dd70d9980b
SAIHOLD,8890f603-002a-5c2c-896d-9d1d8a9baee4
JAKHOLD,2a526512-9ce7-57e4-830c-17bab3668094
CLTHOLD,c6b8fcea-1103-56e9-84ef-6cac3d792955
BILHOLD,1331ef38-a181-5bc2-ac16-92ecd7c991f0
HELHOLD,0f646b74-86ab-5feb-badc-9ce3a59aa464
GRFHOLD,e789010a-13fe-557d-9f01-74bbe5fd9136
NRPHOLD,5e3df587-8ae3-5f7f-97f4-a936aa0f69b5
OMAHOLD,3841f59c-4cda-522a-b54a-bca954957b8f
MANHOLD,b79b62d7-4937-551c-97c9-ae918ae8b303
MLJHOLD,72c7614c-f251-5054-9ac8-af750980bb78
NEWHOLD,8f1156b9-cbbd-52ed-b618-b952ee8d58d0
ABQHOLD,3f9206e6-67da-59e4-a79a-8603373c4c8b
LVGHOLD,7b19d022-7583-5071-9bdc-4baaf850e235
RENHOLD,6b9db5cc-6a96-58c9-a321-efcbe56b5888
ALBHOLD,b6aaefa5-e8e7-5d77-887c-2ccde7084b8a
BUFHOLD,725e6d68-02d5-559f-ad2a-f02f3c1ba169
CHMHOLD,1b9c470a-df61-50e0-8721-b5e2fc0869ba
CMDHOLD,c265b1ab-12da-5113-ac32-45bda0260595
NBGHOLD,2f44d08c-636d-5fa9-ae5a-4fef78e4e310
NYCHOLD,f46887fd-c8a8-52fb-b08b-31d7f256dcb0
CINHOLD,52312aba-0a34-5fae-b688-59fb701dd732
CLEHOLD,f69e8f5e-a132-58ac-b481-6e04b0891cd9
CLMHOLD,20b955d7-fdbd-54d8-9d6c-153ee6f14694
OKCHOLD,19f4287d-6d73-5c4d-a1e4-db3d568c398d
EUGHOLD,9de3c93c-6ed3-55dc-948a-1d5a0bcd00a4
MEDHOLD,877379f5-c6ee-5750-8c3e-9871b8855d3d
POOHOLD,413fd718-2146-583f-b222-5afbd83423cd
PHIHOLD,875fe0f8-a829-5c2c-a478-e31ec8c18a8d
PITHOLD,3f719eab-01bc-55f6-a644-fbeb9abdec36
YRKHOLD,c24be9fe-9c4e-519d-a641-ecf85b364739
SAJHOLD,470cc34a-6e0f-5129-8d5c-4db81fe98429
PROHOLD,59437d8d-4c37-5585-b748-3ad728aae9e2
CHLHOLD,cc68e458-e5b7-5671-99fa-7404801b34d0
RPCHOLD,a3fa1eef-7b00-5359-971e-618f2a394d4f
SFDHOLD,06be662f-2425-5af4-8c54-a063138c448e
CNGHOLD,b7632391-c2ae-5d1a-864b-159f7b67b197
KNXHOLD,58f727a0-75da-51e3-bb57-d46ab4499f3c
MEMHOLD,a20c678a-0eca-51f2-93fe-5b20696ee814
NSVHOLD,509691b8-af7a-593e-9fad-cd77224d6149
OGUHOLD,d55c93cd-0a9b-5607-9c84-cb2879c7893f
PRUHOLD,7ca2a3e2-4148-5e08-865a-cb5c676fad95
SGUHOLD,824fa97c-827c-505b-964d-bf4f189a347d
SLCHOLD,6fac1471-a387-59c0-b56d-2e8f5b154506
NORHOLD,6d8e8d68-da09-5175-b7b2-fa1f2399381e
RCMHOLD,1e8dcb90-ee6b-5e7a-961b-3bbf7528fd2e
WASHOLD,5a92ef20-41ce-5e42-8606-04294a82f022
STAHOLD,32d4f801-2fab-5e5c-9b26-d01cf338bf8c
RICHOLD,3f1b057e-c341-5e46-88a3-83bca7a2c33a
SEAHOLD,f74c9f76-72b2-5834-9b73-a7e68fb53860
SPOHOLD,def97ef8-62f4-5154-b76c-e3ff9c1ab62e
WNTHOLD,aa331fed-b95c-5751-a874-81d3708f4270
YAKHOLD,6a21d12d-16a4-5ab5-abed-e6a0feb63546
MILHOLD,4b58ecaf-9721-5597-97ca-b919e1571b7d
CHYHOLD,8652627d-adc5-52c8-8624-2893111359c8
CSPHOLD,5a2c92e2-2327-5507-bc26-d4431bc31881
BSCHOLD,45df2b00-24dd-5308-ae9c-1f3287af670d
DALHOLD,5ef6452f-014e-5888-973e-af6bb3173e82
HLGHOLD,93ac19ca-991e-5ad8-82eb-ecfe88aba181
HOUHOLD,ff92fc88-63c4-585e-8f14-9819526f2ced
MLDHOLD,5d1b8f0f-b022-5ff9-83e7-04963c5a9330
PCSHOLD,2be08175-2200-52ec-ae8b-8e604ffb1a76
SNAHOLD,8b2f63a9-1f8e-597c-ab6b-70d1cb4b3b95
ALMHOLD,81b316c4-91e7-56b8-adbe-49ac05b9c853
CRGHOLD,b1e1af2b-849f-5454-a64d-e4a042008a1f
DENHOLD,48043963-b263-55e5-8324-daafd829f114
DURHOLD,a5f19656-7a9d-59bc-be1a-a26d6bc57885
FRDHOLD,01f09745-467d-5b35-9351-f6e49b96c9fd
GJCHOLD,e715c88d-1747-5202-a113-3ac198070e0e
GSCHOLD,db38321f-d22a-5478-82cc-1330916ad908
PUEHOLD,47ed6eb6-6bb2-5cff-aca5-60bbf6c370ac